model,checkpoint,source,tsne_x,tsne_y
sharedlam2,001000,robot_3cam,-0.12,-24.05
sharedlam2,001000,robot_3cam,49.34,27.95
sharedlam2,001000,robot_3cam,40.17,-15.62
sharedlam2,001000,robot_3cam,62.86,-13.6
sharedlam2,001000,robot_3cam,58.4,2.44
sharedlam2,001000,robot_3cam,45.7,18.92
sharedlam2,001000,robot_3cam,78.98,-10.32
sharedlam2,001000,robot_3cam,12.35,-8.63
sharedlam2,001000,robot_3cam,23.13,-11.85
sharedlam2,001000,robot_3cam,65.28,1.34
sharedlam2,001000,robot_3cam,42.08,8.71
sharedlam2,001000,robot_3cam,42.03,8.62
sharedlam2,001000,robot_3cam,70.5,29.54
sharedlam2,001000,robot_3cam,13.62,-29.53
sharedlam2,001000,robot_3cam,66.69,-23.42
sharedlam2,001000,robot_3cam,40.29,-15.45
sharedlam2,001000,robot_3cam,39.94,19.17
sharedlam2,001000,robot_3cam,36.54,-5.13
sharedlam2,001000,robot_3cam,44.59,-23.31
sharedlam2,001000,robot_3cam,39.74,20.75
sharedlam2,001000,robot_3cam,53.02,-6.65
sharedlam2,001000,robot_3cam,34.28,-16.45
sharedlam2,001000,robot_3cam,32.01,17.12
sharedlam2,001000,robot_3cam,38.53,19.44
sharedlam2,001000,robot_3cam,15.01,-27.46
sharedlam2,001000,robot_3cam,66.5,13.65
sharedlam2,001000,robot_3cam,48.52,-13.86
sharedlam2,001000,robot_3cam,19.72,-4.37
sharedlam2,001000,robot_3cam,38.77,11.76
sharedlam2,001000,robot_3cam,20.19,-20.73
sharedlam2,001000,robot_3cam,22.23,-26.31
sharedlam2,001000,robot_3cam,61.02,-8.8
sharedlam2,001000,robot_3cam,42.06,-26.59
sharedlam2,001000,robot_3cam,88.92,-37.06
sharedlam2,001000,robot_3cam,41.08,-26.41
sharedlam2,001000,robot_3cam,16.72,-26.88
sharedlam2,001000,robot_3cam,54.62,-36.12
sharedlam2,001000,robot_3cam,18.14,-27.99
sharedlam2,001000,robot_3cam,22.48,-16.49
sharedlam2,001000,robot_3cam,17.73,-11.9
sharedlam2,001000,robot_3cam,43.07,-1.75
sharedlam2,001000,robot_3cam,34.04,12.32
sharedlam2,001000,robot_3cam,43.64,-26.73
sharedlam2,001000,robot_3cam,45.41,-29.82
sharedlam2,001000,robot_3cam,46.31,-18.9
sharedlam2,001000,robot_3cam,63.45,-3.71
sharedlam2,001000,robot_3cam,45.57,-31.47
sharedlam2,001000,robot_3cam,3.57,-31.92
sharedlam2,001000,robot_3cam,4.47,49.89
sharedlam2,001000,robot_3cam,40.08,-9.05
sharedlam2,001000,robot_3cam,63.96,-15.17
sharedlam2,001000,robot_3cam,29.21,5.99
sharedlam2,001000,robot_3cam,45.66,18.57
sharedlam2,001000,robot_3cam,73.35,-11.21
sharedlam2,001000,robot_3cam,42.74,-5.3
sharedlam2,001000,robot_3cam,38.52,8.89
sharedlam2,001000,robot_3cam,30.8,-6.04
sharedlam2,001000,robot_3cam,47.45,-29.84
sharedlam2,001000,robot_3cam,50.7,-26.75
sharedlam2,001000,robot_3cam,19.41,-3.8
sharedlam2,001000,robot_3cam,70.24,-39.54
sharedlam2,001000,robot_3cam,51.0,-6.83
sharedlam2,001000,robot_3cam,16.3,-2.19
