model,checkpoint,view,source,tsne_x,tsne_y
sharedlam2,030000,raw,robot_3cam,-3.34,-41.38
sharedlam2,030000,raw,robot_3cam,1.08,-20.43
sharedlam2,030000,raw,robot_3cam,16.19,-25.15
sharedlam2,030000,raw,robot_3cam,72.3,-0.56
sharedlam2,030000,raw,robot_3cam,-7.76,-45.29
sharedlam2,030000,raw,robot_3cam,2.42,3.89
sharedlam2,030000,raw,robot_3cam,-7.26,-33.46
sharedlam2,030000,raw,robot_3cam,18.01,-61.45
sharedlam2,030000,raw,robot_3cam,20.59,-17.12
sharedlam2,030000,raw,robot_3cam,-65.66,-31.83
sharedlam2,030000,raw,robot_3cam,44.34,-32.11
sharedlam2,030000,raw,robot_3cam,49.37,-8.73
sharedlam2,030000,raw,robot_3cam,33.82,-45.27
sharedlam2,030000,raw,robot_3cam,69.65,-12.78
sharedlam2,030000,raw,robot_3cam,-2.09,-48.54
sharedlam2,030000,raw,robot_3cam,-65.83,-31.57
sharedlam2,030000,raw,robot_3cam,-6.74,-18.52
sharedlam2,030000,raw,robot_3cam,59.37,22.85
sharedlam2,030000,raw,robot_3cam,-11.39,-64.52
sharedlam2,030000,raw,robot_3cam,46.02,3.54
sharedlam2,030000,raw,robot_3cam,-64.92,-35.03
sharedlam2,030000,raw,robot_3cam,56.05,13.95
sharedlam2,030000,raw,robot_3cam,71.41,-6.51
sharedlam2,030000,raw,robot_3cam,44.08,-22.5
sharedlam2,030000,raw,robot_3cam,4.53,-0.93
sharedlam2,030000,raw,robot_3cam,60.48,1.14
sharedlam2,030000,raw,robot_3cam,-6.27,-62.79
sharedlam2,030000,raw,robot_3cam,54.38,-26.81
sharedlam2,030000,raw,robot_3cam,56.01,25.19
sharedlam2,030000,raw,robot_3cam,7.71,-50.48
sharedlam2,030000,raw,robot_3cam,47.7,-27.17
sharedlam2,030000,raw,robot_3cam,53.04,23.56
sharedlam2,030000,raw,robot_3cam,0.81,-57.47
sharedlam2,030000,raw,robot_3cam,-6.86,-41.97
sharedlam2,030000,raw,robot_3cam,58.85,-33.92
sharedlam2,030000,raw,robot_3cam,28.02,-63.24
sharedlam2,030000,raw,robot_3cam,-11.17,-41.65
sharedlam2,030000,raw,robot_3cam,19.56,-22.41
sharedlam2,030000,raw,robot_3cam,-5.62,-46.56
sharedlam2,030000,raw,robot_3cam,31.48,-57.79
sharedlam2,030000,raw,robot_3cam,6.58,8.68
sharedlam2,030000,raw,robot_3cam,56.58,-5.02
sharedlam2,030000,raw,robot_3cam,5.36,6.7
sharedlam2,030000,raw,robot_3cam,-6.54,-15.37
sharedlam2,030000,raw,robot_3cam,27.74,12.17
sharedlam2,030000,raw,robot_3cam,57.0,-42.07
sharedlam2,030000,raw,robot_3cam,1.9,-60.61
sharedlam2,030000,raw,robot_3cam,-1.79,-32.41
sharedlam2,030000,raw,robot_3cam,26.02,-38.1
sharedlam2,030000,raw,robot_3cam,77.23,-27.96
sharedlam2,030000,raw,robot_3cam,-9.19,-62.71
sharedlam2,030000,raw,robot_3cam,25.38,-5.22
sharedlam2,030000,raw,robot_3cam,56.77,13.06
sharedlam2,030000,raw,robot_3cam,70.14,-19.47
sharedlam2,030000,raw,robot_3cam,32.7,-60.09
sharedlam2,030000,raw,robot_3cam,39.16,11.38
sharedlam2,030000,raw,robot_3cam,26.9,22.75
sharedlam2,030000,raw,robot_3cam,50.96,0.17
sharedlam2,030000,raw,robot_3cam,-1.22,-17.97
sharedlam2,030000,raw,robot_3cam,76.78,-32.19
sharedlam2,030000,raw,robot_3cam,42.47,-31.59
sharedlam2,030000,raw,robot_3cam,39.67,-35.23
sharedlam2,030000,raw,robot_3cam,12.93,-3.17
sharedlam2,030000,raw,robot_3cam,59.48,21.52
sharedlam2,030000,raw,robot_3cam,33.52,-44.37
sharedlam2,030000,raw,robot_3cam,2.45,0.87
sharedlam2,030000,raw,robot_3cam,-65.67,-32.16
sharedlam2,030000,raw,robot_3cam,0.29,-54.69
sharedlam2,030000,raw,robot_3cam,30.92,-6.35
sharedlam2,030000,raw,robot_3cam,-10.0,-62.45
sharedlam2,030000,raw,robot_3cam,59.1,-8.62
sharedlam2,030000,raw,robot_3cam,29.19,-48.54
sharedlam2,030000,raw,robot_3cam,28.05,-63.78
sharedlam2,030000,raw,robot_3cam,0.39,-36.63
sharedlam2,030000,raw,robot_3cam,73.41,-13.21
sharedlam2,030000,raw,robot_3cam,15.87,-44.12
sharedlam2,030000,raw,robot_3cam,-10.62,-36.85
sharedlam2,030000,raw,robot_3cam,41.06,3.96
sharedlam2,030000,raw,robot_3cam,-0.37,-5.15
sharedlam2,030000,raw,robot_3cam,67.29,11.59
sharedlam2,030000,raw,robot_3cam,23.46,18.33
sharedlam2,030000,raw,robot_3cam,9.15,7.01
sharedlam2,030000,raw,robot_3cam,-66.54,-28.8
sharedlam2,030000,raw,robot_3cam,48.59,25.58
sharedlam2,030000,raw,robot_3cam,14.64,6.57
sharedlam2,030000,raw,robot_3cam,-4.39,-66.22
sharedlam2,030000,raw,robot_3cam,0.34,-38.46
sharedlam2,030000,raw,robot_3cam,47.64,-50.79
sharedlam2,030000,raw,robot_3cam,52.66,-7.64
