teacher,n_emb,checkpoint,embodiment,tsne_x,tsne_y
xemb1iiwa,2,001000,franka,11.37,111.73
xemb1iiwa,2,001000,franka,-80.7,21.26
xemb1iiwa,2,001000,franka,-68.76,16.65
xemb1iiwa,2,001000,franka,70.08,-39.35
xemb1iiwa,2,001000,franka,-59.05,1.73
xemb1iiwa,2,001000,franka,-99.62,-12.47
xemb1iiwa,2,001000,franka,-55.34,-8.91
xemb1iiwa,2,001000,franka,68.01,-32.82
xemb1iiwa,2,001000,franka,-98.01,-16.48
xemb1iiwa,2,001000,franka,74.02,-39.15
xemb1iiwa,2,001000,franka,73.27,-35.18
xemb1iiwa,2,001000,franka,-90.88,6.16
xemb1iiwa,2,001000,franka,-65.69,17.11
xemb1iiwa,2,001000,franka,-91.14,20.48
xemb1iiwa,2,001000,franka,78.99,-36.6
xemb1iiwa,2,001000,franka,73.27,-38.98
xemb1iiwa,2,001000,franka,75.25,-42.91
xemb1iiwa,2,001000,franka,-97.49,-9.89
xemb1iiwa,2,001000,franka,-81.87,32.54
xemb1iiwa,2,001000,franka,55.39,-81.17
xemb1iiwa,2,001000,franka,-70.61,14.4
xemb1iiwa,2,001000,franka,60.23,-31.17
xemb1iiwa,2,001000,franka,-80.44,-1.82
xemb1iiwa,2,001000,franka,-92.91,-6.78
xemb1iiwa,2,001000,franka,-58.4,1.4
xemb1iiwa,2,001000,franka,-70.88,36.48
xemb1iiwa,2,001000,franka,85.37,-24.91
xemb1iiwa,2,001000,franka,58.3,-31.66
xemb1iiwa,2,001000,franka,52.04,-83.61
xemb1iiwa,2,001000,franka,67.01,-32.06
xemb1iiwa,2,001000,franka,-74.88,31.83
xemb1iiwa,2,001000,franka,-63.81,29.9
xemb1iiwa,2,001000,franka,76.19,-40.73
xemb1iiwa,2,001000,franka,62.73,-38.27
xemb1iiwa,2,001000,franka,-57.18,-6.36
xemb1iiwa,2,001000,franka,-94.86,-13.81
xemb1iiwa,2,001000,franka,10.61,113.66
xemb1iiwa,2,001000,franka,-57.86,20.39
xemb1iiwa,2,001000,franka,-77.66,24.76
xemb1iiwa,2,001000,franka,-64.21,28.08
xemb1iiwa,2,001000,franka,51.13,-79.79
xemb1iiwa,2,001000,franka,74.8,-38.36
xemb1iiwa,2,001000,franka,-91.81,-8.95
xemb1iiwa,2,001000,franka,-56.94,-0.65
xemb1iiwa,2,001000,franka,9.59,116.05
xemb1iiwa,2,001000,franka,-93.62,20.01
xemb1iiwa,2,001000,franka,11.23,112.04
xemb1iiwa,2,001000,franka,50.66,90.13
xemb1iiwa,2,001000,franka,-82.77,41.44
xemb1iiwa,2,001000,franka,-57.81,25.9
xemb1iiwa,2,001000,franka,-83.32,21.06
xemb1iiwa,2,001000,franka,61.08,-26.48
xemb1iiwa,2,001000,franka,67.23,-30.53
xemb1iiwa,2,001000,franka,-103.47,7.23
xemb1iiwa,2,001000,franka,10.24,110.46
xemb1iiwa,2,001000,franka,-55.71,-16.7
xemb1iiwa,2,001000,franka,-79.93,38.84
xemb1iiwa,2,001000,franka,-81.43,32.02
xemb1iiwa,2,001000,franka,-64.2,2.03
xemb1iiwa,2,001000,franka,61.94,-29.34
xemb1iiwa,2,001000,franka,52.0,-79.03
xemb1iiwa,2,001000,franka,67.73,-41.51
xemb1iiwa,2,001000,franka,-86.11,-3.48
xemb1iiwa,2,001000,franka,-91.47,35.56
xemb1iiwa,2,001000,franka,-76.32,31.11
xemb1iiwa,2,001000,franka,63.65,-29.82
xemb1iiwa,2,001000,franka,-60.42,-18.23
xemb1iiwa,2,001000,franka,-89.34,13.04
xemb1iiwa,2,001000,franka,-69.45,29.23
xemb1iiwa,2,001000,franka,73.06,-41.84
xemb1iiwa,2,001000,franka,-56.26,-4.63
xemb1iiwa,2,001000,franka,-82.21,-6.68
xemb1iiwa,2,001000,franka,-71.92,35.22
xemb1iiwa,2,001000,franka,69.59,-37.59
xemb1iiwa,2,001000,franka,-58.89,-1.62
xemb1iiwa,2,001000,franka,-82.56,13.75
xemb1iiwa,2,001000,franka,67.08,-36.06
xemb1iiwa,2,001000,franka,83.01,-18.2
xemb1iiwa,2,001000,franka,-63.78,-12.95
xemb1iiwa,2,001000,franka,-70.33,16.79
xemb1iiwa,2,001000,franka,-80.0,39.89
xemb1iiwa,2,001000,franka,64.25,-34.04
xemb1iiwa,2,001000,franka,-64.56,2.83
xemb1iiwa,2,001000,franka,61.19,-37.24
xemb1iiwa,2,001000,franka,-64.51,2.57
xemb1iiwa,2,001000,franka,18.84,110.73
xemb1iiwa,2,001000,franka,-67.64,30.54
xemb1iiwa,2,001000,franka,65.96,-35.48
xemb1iiwa,2,001000,franka,81.97,-41.68
xemb1iiwa,2,001000,franka,4.24,115.9
xemb1iiwa,2,001000,franka,-78.61,51.18
xemb1iiwa,2,001000,franka,-59.96,-14.45
xemb1iiwa,2,001000,franka,8.52,110.49
xemb1iiwa,2,001000,franka,-87.33,39.0
xemb1iiwa,2,001000,franka,59.63,-32.18
xemb1iiwa,2,001000,franka,56.56,-83.58
xemb1iiwa,2,001000,franka,69.21,-41.35
xemb1iiwa,2,001000,franka,54.9,-83.63
xemb1iiwa,2,001000,franka,-94.31,11.65
xemb1iiwa,2,001000,franka,53.34,-76.01
xemb1iiwa,2,001000,franka,58.72,-81.87
xemb1iiwa,2,001000,franka,5.56,109.18
xemb1iiwa,2,001000,franka,67.64,-38.67
xemb1iiwa,2,001000,franka,-91.27,-5.81
xemb1iiwa,2,001000,franka,-79.73,13.05
xemb1iiwa,2,001000,franka,-74.65,26.41
xemb1iiwa,2,001000,franka,63.39,-28.55
xemb1iiwa,2,001000,franka,-75.91,52.61
xemb1iiwa,2,001000,franka,52.03,-79.22
xemb1iiwa,2,001000,franka,-63.27,-15.31
xemb1iiwa,2,001000,franka,-97.83,12.73
xemb1iiwa,2,001000,franka,68.57,-32.84
xemb1iiwa,2,001000,franka,77.15,-48.7
xemb1iiwa,2,001000,franka,62.47,-37.98
xemb1iiwa,2,001000,franka,54.33,-83.31
xemb1iiwa,2,001000,franka,69.3,-40.46
xemb1iiwa,2,001000,franka,-65.88,-3.02
xemb1iiwa,2,001000,franka,-61.27,-0.26
xemb1iiwa,2,001000,franka,-65.61,16.5
xemb1iiwa,2,001000,franka,-86.34,7.56
xemb1iiwa,2,001000,franka,64.6,-33.16
xemb1iiwa,2,001000,franka,75.41,-43.73
xemb1iiwa,2,001000,franka,68.75,-32.3
xemb1iiwa,2,001000,franka,55.04,-83.03
xemb1iiwa,2,001000,franka,-66.12,-14.91
xemb1iiwa,2,001000,franka,-98.92,-9.64
xemb1iiwa,2,001000,franka,52.41,-82.75
xemb1iiwa,2,001000,franka,-79.59,25.79
xemb1iiwa,2,001000,franka,-94.65,-16.3
