episode_index,task,source_kind,n_valid,ood_maha,agree_ridge_mlp,agree_multi_side,amp_dx,heldout,r2_dx_ridge_multi,r2_dx_ridge_side,r2_xyz_ridge_multi,score,proxy,rank_in_task
1544,yellow brick on pink plate,video_2cam,179,5.0801,0.8938,0.8498,0.0112,False,,,,0.8938,agree_ridge_mlp,38
1541,yellow brick on pink plate,video_2cam,135,5.0820,0.8935,0.7719,0.0125,False,,,,0.8935,agree_ridge_mlp,39
1560,yellow brick on pink plate,video_2cam,136,5.6114,0.8899,0.5788,0.0090,False,,,,0.8899,agree_ridge_mlp,40
1556,yellow brick on pink plate,video_2cam,156,5.6707,0.8860,0.9003,0.0093,False,,,,0.8860,agree_ridge_mlp,41
1537,yellow brick on pink plate,video_2cam,136,6.5504,0.8860,0.8145,0.0102,False,,,,0.8860,agree_ridge_mlp,42
1543,yellow brick on pink plate,video_2cam,115,5.1812,0.8850,0.8302,0.0146,False,,,,0.8850,agree_ridge_mlp,43
1580,yellow brick on pink plate,video_2cam,115,6.3424,0.8809,0.7563,0.0135,False,,,,0.8809,agree_ridge_mlp,44
1555,yellow brick on pink plate,video_2cam,147,5.2188,0.8659,0.8166,0.0126,False,,,,0.8659,agree_ridge_mlp,45
1522,yellow brick on pink plate,video_2cam,135,6.3558,0.8509,0.6361,0.0113,False,,,,0.8509,agree_ridge_mlp,46
1540,yellow brick on pink plate,video_2cam,120,6.2939,0.8422,0.6990,0.0075,False,,,,0.8422,agree_ridge_mlp,47
1553,yellow brick on pink plate,video_2cam,158,6.0620,0.8406,0.8075,0.0110,False,,,,0.8406,agree_ridge_mlp,48
1558,yellow brick on pink plate,video_2cam,139,5.8446,0.8405,0.8709,0.0089,False,,,,0.8405,agree_ridge_mlp,49
1547,yellow brick on pink plate,video_2cam,135,6.1544,0.8351,0.8481,0.0147,False,,,,0.8351,agree_ridge_mlp,50
1552,yellow brick on pink plate,video_2cam,123,6.4223,0.8333,0.9121,0.0164,False,,,,0.8333,agree_ridge_mlp,51
1572,yellow brick on pink plate,video_2cam,145,5.5522,0.8124,0.6934,0.0149,False,,,,0.8124,agree_ridge_mlp,52
1554,yellow brick on pink plate,video_2cam,150,5.9321,0.7879,0.8146,0.0115,False,,,,0.7879,agree_ridge_mlp,53
1550,yellow brick on pink plate,video_2cam,135,6.3292,0.7853,0.8420,0.0105,False,,,,0.7853,agree_ridge_mlp,54
1546,yellow brick on pink plate,video_2cam,157,6.3720,0.7810,0.6689,0.0109,False,,,,0.7810,agree_ridge_mlp,55
1545,yellow brick on pink plate,video_2cam,164,5.4025,0.7739,0.7755,0.0123,False,,,,0.7739,agree_ridge_mlp,56
1542,yellow brick on pink plate,video_2cam,148,6.0126,0.7546,0.8431,0.0140,False,,,,0.7546,agree_ridge_mlp,57
1548,yellow brick on pink plate,video_2cam,120,6.5188,0.7491,0.8244,0.0134,False,,,,0.7491,agree_ridge_mlp,58
1526,yellow brick on pink plate,video_2cam,120,5.7566,0.7096,0.7493,0.0063,False,,,,0.7096,agree_ridge_mlp,59
1549,yellow brick on pink plate,video_2cam,131,6.0996,0.7092,0.7641,0.0101,False,,,,0.7092,agree_ridge_mlp,60
438,yellow brick on pink plate,robot_3cam,167,2.6578,0.9704,0.9828,0.0209,False,0.7062,0.8075,0.6056,0.9704,agree_ridge_mlp,1
445,yellow brick on pink plate,robot_3cam,139,3.2821,0.9639,0.9899,0.0240,False,0.8157,0.8217,0.6332,0.9639,agree_ridge_mlp,2
