benchmark,method,teacher_job,ckpt_step,probe,target,action_dim,dim_name,r2,n_train,n_test,source_dir,note
realworld,ours_multi,43524549,30000,ridge,abs_action_local,2,dz,0.698342,137152,35881,"local fit, experiments/fit_decode_realworld.py on the full exports","front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2; local 20%-episode holdout, ridge alpha=1 / MLP(512,256)"
realworld,ours_multi,43524549,30000,ridge,abs_action_local,3,droll,0.351945,137152,35881,"local fit, experiments/fit_decode_realworld.py on the full exports","front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2; local 20%-episode holdout, ridge alpha=1 / MLP(512,256)"
realworld,ours_multi,43524549,30000,ridge,abs_action_local,4,dpitch,0.239302,137152,35881,"local fit, experiments/fit_decode_realworld.py on the full exports","front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2; local 20%-episode holdout, ridge alpha=1 / MLP(512,256)"
realworld,ours_multi,43524549,30000,ridge,abs_action_local,5,dyaw,0.622618,137152,35881,"local fit, experiments/fit_decode_realworld.py on the full exports","front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2; local 20%-episode holdout, ridge alpha=1 / MLP(512,256)"
realworld,ours_multi,43524549,30000,ridge,abs_action_local,6,gripper,0.245565,137152,35881,"local fit, experiments/fit_decode_realworld.py on the full exports","front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2; local 20%-episode holdout, ridge alpha=1 / MLP(512,256)"
realworld,ours_multi,43524549,30000,ridge,abs_action_local,-1,mean,0.436686,137152,35881,"local fit, experiments/fit_decode_realworld.py on the full exports","front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2; local 20%-episode holdout, ridge alpha=1 / MLP(512,256)"
realworld,ours_multi,43524549,30000,mlp,abs_action_local,0,dx,0.525488,137152,35881,"local fit, experiments/fit_decode_realworld.py on the full exports","front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2; local 20%-episode holdout, ridge alpha=1 / MLP(512,256)"
realworld,ours_multi,43524549,30000,mlp,abs_action_local,1,dy,0.873315,137152,35881,"local fit, experiments/fit_decode_realworld.py on the full exports","front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2; local 20%-episode holdout, ridge alpha=1 / MLP(512,256)"
realworld,ours_multi,43524549,30000,mlp,abs_action_local,2,dz,0.909041,137152,35881,"local fit, experiments/fit_decode_realworld.py on the full exports","front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2; local 20%-episode holdout, ridge alpha=1 / MLP(512,256)"
realworld,ours_multi,43524549,30000,mlp,abs_action_local,3,droll,0.424899,137152,35881,"local fit, experiments/fit_decode_realworld.py on the full exports","front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2; local 20%-episode holdout, ridge alpha=1 / MLP(512,256)"
realworld,ours_multi,43524549,30000,mlp,abs_action_local,4,dpitch,0.315842,137152,35881,"local fit, experiments/fit_decode_realworld.py on the full exports","front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2; local 20%-episode holdout, ridge alpha=1 / MLP(512,256)"
realworld,ours_multi,43524549,30000,mlp,abs_action_local,5,dyaw,0.830308,137152,35881,"local fit, experiments/fit_decode_realworld.py on the full exports","front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2; local 20%-episode holdout, ridge alpha=1 / MLP(512,256)"
realworld,ours_multi,43524549,30000,mlp,abs_action_local,6,gripper,0.476445,137152,35881,"local fit, experiments/fit_decode_realworld.py on the full exports","front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2; local 20%-episode holdout, ridge alpha=1 / MLP(512,256)"
realworld,ours_multi,43524549,30000,mlp,abs_action_local,-1,mean,0.622191,137152,35881,"local fit, experiments/fit_decode_realworld.py on the full exports","front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2; local 20%-episode holdout, ridge alpha=1 / MLP(512,256)"
realworld,ours_multi,43524549,30000,ridge,state_delta_h5,0,dx,0.657924,137152,35881,"local fit, experiments/fit_decode_realworld.py on the full exports","front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2; local 20%-episode holdout, ridge alpha=1 / MLP(512,256)"
realworld,ours_multi,43524549,30000,ridge,state_delta_h5,1,dy,0.751906,137152,35881,"local fit, experiments/fit_decode_realworld.py on the full exports","front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2; local 20%-episode holdout, ridge alpha=1 / MLP(512,256)"
realworld,ours_multi,43524549,30000,ridge,state_delta_h5,2,dz,0.825346,137152,35881,"local fit, experiments/fit_decode_realworld.py on the full exports","front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2; local 20%-episode holdout, ridge alpha=1 / MLP(512,256)"
