model,checkpoint,source,umap_x,umap_y
sharedlam2,001000,robot_3cam,9.64,2.42
sharedlam2,001000,robot_3cam,11.95,2.79
sharedlam2,001000,robot_3cam,8.77,3.06
sharedlam2,001000,robot_3cam,9.28,2.51
sharedlam2,001000,robot_3cam,12.01,2.96
sharedlam2,001000,robot_3cam,9.16,3.54
sharedlam2,001000,robot_3cam,9.19,2.82
sharedlam2,001000,robot_3cam,11.57,3.0
sharedlam2,001000,robot_3cam,12.02,2.95
sharedlam2,001000,robot_3cam,9.54,1.05
sharedlam2,001000,robot_3cam,9.77,4.15
sharedlam2,001000,robot_3cam,12.18,1.9
sharedlam2,001000,robot_3cam,7.79,2.72
sharedlam2,001000,robot_3cam,11.83,2.06
sharedlam2,001000,robot_3cam,9.13,1.15
sharedlam2,001000,robot_3cam,9.68,0.98
sharedlam2,001000,robot_3cam,9.65,3.83
sharedlam2,001000,robot_3cam,9.14,1.87
sharedlam2,001000,robot_3cam,15.54,1.08
sharedlam2,001000,robot_3cam,9.05,1.78
sharedlam2,001000,robot_3cam,9.9,1.3
sharedlam2,001000,robot_3cam,11.52,1.44
sharedlam2,001000,robot_3cam,9.71,1.13
sharedlam2,001000,robot_3cam,9.15,2.31
sharedlam2,001000,robot_3cam,8.09,2.92
sharedlam2,001000,robot_3cam,8.97,3.26
sharedlam2,001000,robot_3cam,11.37,2.66
sharedlam2,001000,robot_3cam,9.38,2.09
sharedlam2,001000,robot_3cam,9.66,1.74
sharedlam2,001000,robot_3cam,9.5,2.84
sharedlam2,001000,robot_3cam,9.64,3.89
sharedlam2,001000,robot_3cam,9.64,1.61
sharedlam2,001000,robot_3cam,8.66,0.99
sharedlam2,001000,robot_3cam,8.03,13.63
sharedlam2,001000,robot_3cam,9.47,3.13
sharedlam2,001000,robot_3cam,10.03,3.24
sharedlam2,001000,robot_3cam,11.04,2.71
sharedlam2,001000,robot_3cam,12.28,2.57
sharedlam2,001000,robot_3cam,10.16,3.69
sharedlam2,001000,robot_3cam,9.1,3.1
sharedlam2,001000,robot_3cam,11.47,2.47
sharedlam2,001000,robot_3cam,8.71,2.78
sharedlam2,001000,robot_3cam,9.68,1.93
sharedlam2,001000,robot_3cam,9.77,2.3
sharedlam2,001000,robot_3cam,7.72,2.72
sharedlam2,001000,robot_3cam,12.4,1.54
sharedlam2,001000,robot_3cam,9.05,3.82
sharedlam2,001000,robot_3cam,7.76,2.48
sharedlam2,001000,robot_3cam,10.07,3.69
sharedlam2,001000,robot_3cam,8.99,3.61
sharedlam2,001000,robot_3cam,8.1,2.89
sharedlam2,001000,robot_3cam,9.22,3.78
sharedlam2,001000,robot_3cam,9.18,3.96
sharedlam2,001000,robot_3cam,11.03,2.63
sharedlam2,001000,robot_3cam,8.64,2.67
sharedlam2,001000,robot_3cam,9.08,3.59
sharedlam2,001000,robot_3cam,12.28,2.55
sharedlam2,001000,robot_3cam,9.26,2.0
sharedlam2,001000,robot_3cam,11.57,3.53
sharedlam2,001000,robot_3cam,11.68,2.21
sharedlam2,001000,robot_3cam,8.84,3.04
sharedlam2,001000,robot_3cam,10.12,3.67
sharedlam2,001000,robot_3cam,8.07,2.9
sharedlam2,001000,robot_3cam,8.99,2.15
sharedlam2,001000,robot_3cam,9.29,3.67
sharedlam2,001000,robot_3cam,9.22,2.95
sharedlam2,001000,robot_3cam,9.88,3.52
sharedlam2,001000,robot_3cam,9.69,1.2
sharedlam2,001000,robot_3cam,9.84,1.11
sharedlam2,001000,robot_3cam,8.77,0.97
sharedlam2,001000,robot_3cam,9.05,0.79
sharedlam2,001000,robot_3cam,11.09,1.3
sharedlam2,001000,robot_3cam,8.21,2.34
sharedlam2,001000,robot_3cam,7.84,2.73
sharedlam2,001000,robot_3cam,11.01,2.62
sharedlam2,001000,robot_3cam,10.42,2.68
sharedlam2,001000,robot_3cam,9.16,3.13
sharedlam2,001000,robot_3cam,8.91,1.62
sharedlam2,001000,robot_3cam,10.68,3.98
sharedlam2,001000,robot_3cam,9.17,3.1
sharedlam2,001000,robot_3cam,12.43,2.85
sharedlam2,001000,robot_3cam,8.97,1.09
sharedlam2,001000,robot_3cam,10.83,1.71
sharedlam2,001000,robot_3cam,9.1,1.56
sharedlam2,001000,robot_3cam,12.0,2.94
sharedlam2,001000,robot_3cam,10.2,3.56
sharedlam2,001000,robot_3cam,16.48,4.04
sharedlam2,001000,robot_3cam,8.11,2.9
sharedlam2,001000,robot_3cam,9.14,3.06
sharedlam2,001000,robot_3cam,9.12,4.2
sharedlam2,001000,robot_3cam,8.77,3.05
sharedlam2,001000,robot_3cam,12.27,3.14
sharedlam2,001000,robot_3cam,11.66,4.5
sharedlam2,001000,robot_3cam,11.66,2.21
sharedlam2,001000,robot_3cam,9.01,2.2
sharedlam2,001000,robot_3cam,8.65,1.01
sharedlam2,001000,robot_3cam,9.76,3.8
sharedlam2,001000,robot_3cam,9.12,3.25
sharedlam2,001000,robot_3cam,12.07,1.92
sharedlam2,001000,robot_3cam,9.55,2.76
sharedlam2,001000,robot_3cam,11.55,2.27
sharedlam2,001000,robot_3cam,9.67,4.47
sharedlam2,001000,robot_3cam,8.63,0.51
sharedlam2,001000,robot_3cam,12.41,12.51
sharedlam2,001000,robot_3cam,10.41,2.75
sharedlam2,001000,robot_3cam,9.69,1.33
sharedlam2,001000,robot_3cam,12.22,3.02
sharedlam2,001000,robot_3cam,10.99,1.81
sharedlam2,001000,robot_3cam,11.0,1.26
sharedlam2,001000,robot_3cam,9.31,1.08
sharedlam2,001000,robot_3cam,10.63,3.92
sharedlam2,001000,robot_3cam,8.95,2.8
sharedlam2,001000,robot_3cam,9.16,0.87
sharedlam2,001000,robot_3cam,10.36,2.45
sharedlam2,001000,robot_3cam,9.03,4.04
sharedlam2,001000,robot_3cam,8.95,3.45
sharedlam2,001000,robot_3cam,12.19,2.84
sharedlam2,001000,robot_3cam,9.0,4.1
sharedlam2,001000,robot_3cam,8.92,3.6
sharedlam2,001000,robot_3cam,12.08,1.89
sharedlam2,001000,robot_3cam,11.12,2.63
sharedlam2,001000,robot_3cam,8.07,2.88
sharedlam2,001000,robot_3cam,8.98,1.7
sharedlam2,001000,robot_3cam,9.16,3.75
sharedlam2,001000,robot_3cam,15.37,4.39
sharedlam2,001000,robot_3cam,9.35,2.09
sharedlam2,001000,robot_3cam,15.33,4.31
sharedlam2,001000,robot_3cam,10.43,2.8
sharedlam2,001000,robot_3cam,10.26,2.64
sharedlam2,001000,robot_3cam,9.12,3.82
sharedlam2,001000,robot_3cam,9.76,1.03
sharedlam2,001000,robot_3cam,10.19,3.14
sharedlam2,001000,robot_3cam,8.89,1.57
sharedlam2,001000,robot_3cam,10.43,2.8
sharedlam2,001000,robot_3cam,11.39,2.51
sharedlam2,001000,robot_3cam,11.64,5.8
sharedlam2,001000,robot_3cam,10.45,2.96
sharedlam2,001000,robot_3cam,9.46,3.43
sharedlam2,001000,robot_3cam,12.0,3.0
sharedlam2,001000,robot_3cam,11.08,2.8
sharedlam2,001000,robot_3cam,11.51,3.83
sharedlam2,001000,robot_3cam,8.94,1.86
sharedlam2,001000,robot_3cam,12.45,3.18
sharedlam2,001000,robot_3cam,8.34,0.5
sharedlam2,001000,robot_3cam,10.87,4.07
sharedlam2,001000,robot_3cam,12.31,3.14
sharedlam2,001000,robot_3cam,11.45,3.65
sharedlam2,001000,robot_3cam,8.88,0.84
sharedlam2,001000,robot_3cam,10.37,-2.61
sharedlam2,001000,robot_3cam,8.94,1.39
sharedlam2,001000,robot_3cam,8.88,3.22
sharedlam2,001000,robot_3cam,11.93,2.41
sharedlam2,001000,robot_3cam,12.27,3.15
sharedlam2,001000,robot_3cam,11.18,2.5
sharedlam2,001000,robot_3cam,10.91,1.73
sharedlam2,001000,robot_3cam,12.17,1.92
sharedlam2,001000,robot_3cam,10.03,3.38
sharedlam2,001000,robot_3cam,11.04,2.62
sharedlam2,001000,robot_3cam,8.45,2.81
sharedlam2,001000,robot_3cam,9.34,3.61
sharedlam2,001000,robot_3cam,11.45,3.64
