model,model_label,view,source,tsne_x,tsne_y
sharedlam2,front+side,raw latent (8-D),robot_3cam,-43.93,-18.41
sharedlam2,front+side,raw latent (8-D),robot_3cam,6.73,-47.39
sharedlam2,front+side,raw latent (8-D),robot_3cam,-38.98,-59.46
sharedlam2,front+side,raw latent (8-D),robot_3cam,-23.01,-31.1
sharedlam2,front+side,raw latent (8-D),robot_3cam,-59.24,2.99
sharedlam2,front+side,raw latent (8-D),robot_3cam,12.76,-27.52
sharedlam2,front+side,raw latent (8-D),robot_3cam,-19.13,-10.04
sharedlam2,front+side,raw latent (8-D),robot_3cam,-35.1,-27.23
sharedlam2,front+side,raw latent (8-D),robot_3cam,38.32,-36.19
sharedlam2,front+side,raw latent (8-D),robot_3cam,-43.98,8.48
sharedlam2,front+side,raw latent (8-D),robot_3cam,-18.05,-58.53
sharedlam2,front+side,raw latent (8-D),robot_3cam,32.25,-29.41
sharedlam2,front+side,raw latent (8-D),robot_3cam,-1.51,-42.45
sharedlam2,front+side,raw latent (8-D),robot_3cam,5.7,-70.08
sharedlam2,front+side,raw latent (8-D),robot_3cam,31.81,-31.68
sharedlam2,front+side,raw latent (8-D),robot_3cam,1.24,-30.77
sharedlam2,front+side,raw latent (8-D),robot_3cam,-29.21,-12.54
sharedlam2,front+side,raw latent (8-D),robot_3cam,-44.49,-9.04
sharedlam2,front+side,raw latent (8-D),robot_3cam,-57.82,-21.49
sharedlam2,front+side,raw latent (8-D),robot_3cam,-12.37,-8.0
sharedlam2,front+side,raw latent (8-D),robot_3cam,-12.95,-10.65
sharedlam2,front+side,raw latent (8-D),robot_3cam,-51.96,5.55
sharedlam2,front+side,raw latent (8-D),robot_3cam,39.68,-30.98
sharedlam2,front+side,raw latent (8-D),robot_3cam,-10.88,-11.46
sharedlam2,front+side,raw latent (8-D),robot_3cam,-45.97,6.74
sharedlam2,front+side,raw latent (8-D),robot_3cam,-59.45,-2.59
sharedlam2,front+side,raw latent (8-D),robot_3cam,-20.27,-14.21
sharedlam2,front+side,raw latent (8-D),robot_3cam,-28.36,-15.85
sharedlam2,front+side,raw latent (8-D),robot_3cam,-3.54,-44.32
sharedlam2,front+side,raw latent (8-D),robot_3cam,22.8,-34.93
sharedlam2,front+side,raw latent (8-D),robot_3cam,34.84,-31.53
sharedlam2,front+side,raw latent (8-D),robot_3cam,-13.95,-69.13
sharedlam2,front+side,raw latent (8-D),robot_3cam,11.26,-50.39
sharedlam2,front+side,raw latent (8-D),robot_3cam,-33.55,-28.49
sharedlam2,front+side,raw latent (8-D),robot_3cam,-35.8,-37.41
sharedlam2,front+side,raw latent (8-D),robot_3cam,-27.55,-55.8
sharedlam2,front+side,raw latent (8-D),robot_3cam,-40.82,-0.07
sharedlam2,front+side,raw latent (8-D),robot_3cam,-15.93,-47.16
sharedlam2,front+side,raw latent (8-D),robot_3cam,6.3,-44.52
sharedlam2,front+side,raw latent (8-D),robot_3cam,-40.03,-42.47
sharedlam2,front+side,raw latent (8-D),robot_3cam,-31.5,-39.68
sharedlam2,front+side,raw latent (8-D),robot_3cam,-16.74,-23.69
sharedlam2,front+side,raw latent (8-D),robot_3cam,23.41,-44.58
sharedlam2,front+side,raw latent (8-D),robot_3cam,-61.26,-5.01
sharedlam2,front+side,raw latent (8-D),robot_3cam,-39.66,-10.67
sharedlam2,front+side,raw latent (8-D),robot_3cam,33.51,-47.33
sharedlam2,front+side,raw latent (8-D),robot_3cam,33.0,-45.43
sharedlam2,front+side,raw latent (8-D),robot_3cam,-25.2,-69.96
sharedlam2,front+side,raw latent (8-D),robot_3cam,-10.42,-67.43
sharedlam2,front+side,raw latent (8-D),robot_3cam,-8.69,-39.96
sharedlam2,front+side,raw latent (8-D),robot_3cam,31.29,-51.47
sharedlam2,front+side,raw latent (8-D),robot_3cam,11.71,-72.18
sharedlam2,front+side,raw latent (8-D),robot_3cam,-15.34,3.61
sharedlam2,front+side,raw latent (8-D),robot_3cam,-58.12,-13.63
sharedlam2,front+side,raw latent (8-D),robot_3cam,-24.13,3.53
sharedlam2,front+side,raw latent (8-D),robot_3cam,9.07,-57.46
sharedlam2,front+side,raw latent (8-D),robot_3cam,-52.92,-34.44
sharedlam2,front+side,raw latent (8-D),robot_3cam,-41.54,-44.52
sharedlam2,front+side,raw latent (8-D),robot_3cam,6.45,-68.72
sharedlam2,front+side,raw latent (8-D),robot_3cam,13.87,-28.04
sharedlam2,front+side,raw latent (8-D),robot_3cam,-12.7,-14.92
sharedlam2,front+side,raw latent (8-D),robot_3cam,5.92,-69.78
sharedlam2,front+side,raw latent (8-D),robot_3cam,14.8,-27.2
sharedlam2,front+side,raw latent (8-D),robot_3cam,2.32,-39.69
sharedlam2,front+side,raw latent (8-D),robot_3cam,-33.79,-1.76
sharedlam2,front+side,raw latent (8-D),robot_3cam,28.96,-27.76
sharedlam2,front+side,raw latent (8-D),robot_3cam,35.65,-32.82
sharedlam2,front+side,raw latent (8-D),robot_3cam,10.98,-72.09
sharedlam2,front+side,raw latent (8-D),robot_3cam,-45.34,-53.48
sharedlam2,front+side,raw latent (8-D),robot_3cam,-63.85,-22.82
sharedlam2,front+side,raw latent (8-D),robot_3cam,-29.1,-42.34
sharedlam2,front+side,raw latent (8-D),robot_3cam,2.38,-16.35
sharedlam2,front+side,raw latent (8-D),robot_3cam,-45.97,-20.61
sharedlam2,front+side,raw latent (8-D),robot_3cam,-37.15,-47.82
sharedlam2,front+side,raw latent (8-D),robot_3cam,-47.37,-34.42
sharedlam2,front+side,raw latent (8-D),robot_3cam,-7.49,-39.64
sharedlam2,front+side,raw latent (8-D),robot_3cam,1.71,-51.43
sharedlam2,front+side,raw latent (8-D),robot_3cam,-37.29,-48.84
sharedlam2,front+side,raw latent (8-D),robot_3cam,-1.51,-28.17
sharedlam2,front+side,raw latent (8-D),robot_3cam,-38.72,-18.75
sharedlam2,front+side,raw latent (8-D),robot_3cam,-50.6,-25.95
sharedlam2,front+side,raw latent (8-D),robot_3cam,4.08,-51.69
sharedlam2,front+side,raw latent (8-D),robot_3cam,29.68,-36.88
sharedlam2,front+side,raw latent (8-D),robot_3cam,6.13,-28.57
sharedlam2,front+side,raw latent (8-D),robot_3cam,-51.54,-21.97
sharedlam2,front+side,raw latent (8-D),robot_3cam,-49.15,-31.88
sharedlam2,front+side,raw latent (8-D),robot_3cam,-46.29,-34.79
sharedlam2,front+side,raw latent (8-D),robot_3cam,-3.73,-16.0
sharedlam2,front+side,raw latent (8-D),robot_3cam,-16.61,-50.1
sharedlam2,front+side,raw latent (8-D),robot_3cam,-54.07,4.78
sharedlam2,front+side,raw latent (8-D),robot_3cam,-25.12,-69.65
sharedlam2,front+side,raw latent (8-D),robot_3cam,-46.06,-24.77
sharedlam2,front+side,raw latent (8-D),robot_3cam,-29.35,-45.44
sharedlam2,front+side,raw latent (8-D),robot_3cam,-69.08,-15.11
sharedlam2,front+side,raw latent (8-D),robot_3cam,-59.3,-20.14
sharedlam2,front+side,raw latent (8-D),robot_3cam,-27.94,-54.14
sharedlam2,front+side,raw latent (8-D),robot_3cam,-27.12,2.41
sharedlam2,front+side,raw latent (8-D),robot_3cam,30.34,-47.94
sharedlam2,front+side,raw latent (8-D),robot_3cam,38.54,-32.84
sharedlam2,front+side,raw latent (8-D),robot_3cam,10.07,-55.72
sharedlam2,front+side,raw latent (8-D),robot_3cam,30.27,-54.34
sharedlam2,front+side,raw latent (8-D),robot_3cam,-42.54,-39.52
sharedlam2,front+side,raw latent (8-D),robot_3cam,-50.05,-23.01
sharedlam2,front+side,raw latent (8-D),robot_3cam,-2.1,-15.99
sharedlam2,front+side,raw latent (8-D),robot_3cam,-58.09,-1.53
sharedlam2,front+side,raw latent (8-D),robot_3cam,-3.56,-42.12
sharedlam2,front+side,raw latent (8-D),robot_3cam,-25.18,-36.55
sharedlam2,front+side,raw latent (8-D),robot_3cam,12.92,-66.27
sharedlam2,front+side,raw latent (8-D),robot_3cam,-0.35,-13.48
sharedlam2,front+side,raw latent (8-D),robot_3cam,-57.91,-13.41
sharedlam2,front+side,raw latent (8-D),robot_3cam,-54.1,8.65
sharedlam2,front+side,raw latent (8-D),robot_3cam,21.12,-55.86
sharedlam2,front+side,raw latent (8-D),robot_3cam,-30.62,-32.9
sharedlam2,front+side,raw latent (8-D),robot_3cam,9.0,-74.32
sharedlam2,front+side,raw latent (8-D),robot_3cam,-54.88,4.72
sharedlam2,front+side,raw latent (8-D),robot_3cam,-48.18,-27.23
