teacher,n_emb,checkpoint,embodiment,umap_x,umap_y
xemb1iiwa,2,001000,franka,12.46,25.13
xemb1iiwa,2,001000,franka,-2.69,9.62
xemb1iiwa,2,001000,franka,7.73,-8.5
xemb1iiwa,2,001000,franka,8.07,-3.71
xemb1iiwa,2,001000,franka,-5.1,7.76
xemb1iiwa,2,001000,franka,11.97,24.93
xemb1iiwa,2,001000,franka,11.12,25.69
xemb1iiwa,2,001000,franka,11.99,25.3
xemb1iiwa,2,001000,franka,7.82,-8.4
xemb1iiwa,2,001000,franka,11.63,25.42
xemb1iiwa,2,001000,franka,7.02,-3.68
xemb1iiwa,2,001000,franka,7.15,-3.82
xemb1iiwa,2,001000,franka,-4.09,9.92
xemb1iiwa,2,001000,franka,-4.6,8.29
xemb1iiwa,2,001000,franka,12.17,25.21
xemb1iiwa,2,001000,franka,11.39,25.53
xemb1iiwa,2,001000,franka,12.02,25.07
xemb1iiwa,2,001000,franka,7.84,-8.4
xemb1iiwa,2,001000,franka,8.02,-3.77
xemb1iiwa,2,001000,franka,-5.87,5.46
xemb1iiwa,2,001000,franka,7.76,-8.4
xemb1iiwa,2,001000,franka,-4.11,9.22
xemb1iiwa,2,001000,franka,-5.46,5.24
xemb1iiwa,2,001000,franka,2.27,22.96
xemb1iiwa,2,001000,franka,11.61,25.51
xemb1iiwa,2,001000,franka,11.32,25.18
xemb1iiwa,2,001000,franka,3.51,22.73
xemb1iiwa,2,001000,franka,-2.68,9.64
xemb1iiwa,2,001000,franka,-2.73,9.63
xemb1iiwa,2,001000,franka,1.97,23.08
xemb1iiwa,2,001000,franka,1.9,22.95
xemb1iiwa,2,001000,franka,-4.32,8.23
xemb1iiwa,2,001000,franka,-3.9,9.47
xemb1iiwa,2,001000,franka,-5.11,7.54
xemb1iiwa,2,001000,franka,-2.84,9.51
xemb1iiwa,2,001000,franka,12.33,25.26
xemb1iiwa,2,001000,franka,3.57,22.78
xemb1iiwa,2,001000,franka,-5.38,5.45
xemb1iiwa,2,001000,franka,-3.91,8.67
xemb1iiwa,2,001000,franka,-5.49,5.46
xemb1iiwa,2,001000,franka,6.9,-3.79
xemb1iiwa,2,001000,franka,12.3,25.04
xemb1iiwa,2,001000,franka,12.39,25.4
xemb1iiwa,2,001000,franka,12.03,25.03
xemb1iiwa,2,001000,franka,-4.54,8.77
xemb1iiwa,2,001000,franka,-5.02,7.57
xemb1iiwa,2,001000,franka,-5.51,5.33
xemb1iiwa,2,001000,franka,8.03,-3.77
xemb1iiwa,2,001000,franka,7.9,-3.43
xemb1iiwa,2,001000,franka,11.59,25.25
xemb1iiwa,2,001000,franka,-4.28,8.6
xemb1iiwa,2,001000,franka,2.52,22.93
xemb1iiwa,2,001000,franka,-4.58,10.03
xemb1iiwa,2,001000,franka,7.88,-8.39
xemb1iiwa,2,001000,franka,-5.29,5.65
xemb1iiwa,2,001000,franka,-4.02,9.48
xemb1iiwa,2,001000,franka,1.98,22.97
xemb1iiwa,2,001000,franka,-4.1,9.38
xemb1iiwa,2,001000,franka,-4.96,9.93
xemb1iiwa,2,001000,franka,3.52,22.73
